Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Ukraine,UKR,Surface area (sq. km),AG.SRF.TOTL.K2,603550,603550,603550,..,..
Ukraine,UKR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,656105592902.923,746470597165.436,569710531654.787,622877549405.733,656527758167.994
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66744000,66984000,67604000,68492000,69226000
United Kingdom,GBR,Surface area (sq. km),AG.SRF.TOTL.K2,243610,243610,243610,..,..
United Kingdom,GBR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3219066303872.09,3416480549650.65,3957840318954.8,3966748015298.24,4196506479513.42
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33586372,34243696,34938955,35652307,36361859
Uzbekistan,UZB,Surface area (sq. km),AG.SRF.TOTL.K2,448924,448924,448924,..,..
Uzbekistan,UZB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,283862781607.33,316673503929.41,359610275444.799,395989161090.91,431926264607.887
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,
